Year;Pollution_display;Total_a;Total_b;Total_c
6794;0;22;0;88
6795;0;25;0;87
6796;0;22;0;85
6797;0;20;0;93
6798;0;25;0;92
6799;0;27;0;82
6800;0;28;0;85
6801;0;37;0;80
6802;1;37;1;76
6803;1;36;1;74
6804;2;31;2;82
6805;2;29;2;85
6806;1;26;1;90
6807;1;22;1;85
6808;1;22;1;84
6809;1;24;1;86
6810;1;22;1;93
6811;1;20;1;89
6812;0;18;0;96
6813;1;19;1;90
6814;0;12;0;104
6815;0;15;0;99
6816;0;20;0;94
6817;0;23;0;91
6818;0;27;0;85
6819;0;28;0;85
6820;0;32;0;85
6821;0;36;0;69
6822;0;42;0;71
6823;0;45;0;68
6824;0;48;0;66
6825;0;54;0;63
6826;0;55;0;51
6827;0;62;0;47
6828;0;66;0;43
6829;0;68;0;45
6830;0;78;0;36
6831;0;90;0;25
6832;0;103;0;12
6833;0;111;0;0
6834;0;115;0;0
6835;0;113;0;0
6836;0;113;0;0
6837;0;111;0;0
6838;0;109;0;0
6839;0;113;0;0
6840;0;107;0;0
6841;0;109;0;0
6842;0;108;0;0
6843;0;109;0;0
6844;0;116;0;0
6845;0;110;0;0
6846;0;108;0;0
6847;0;110;0;0
6848;0;104;0;0
6849;0;114;0;0
6850;0;110;0;0
6851;0;102;0;0
6852;0;105;0;0
6853;0;106;0;0
6854;0;116;0;0
6855;0;114;0;0
6856;0;113;0;0
6857;0;113;0;0
6858;0;109;0;0
6859;0;107;0;0
6860;0;106;0;1
6861;0;113;0;0
6862;0;111;0;1
6863;0;112;0;0
6864;0;107;0;0
6865;0;109;0;0
6866;0;114;0;0
6867;0;114;0;0
6868;0;110;0;0
6869;0;109;0;0
6870;0;109;0;0
6871;0;111;0;0
6872;0;114;0;0
6873;0;106;0;0
6874;0;111;0;0
6875;0;109;0;0
6876;0;110;0;0
6877;0;119;0;0
6878;0;108;0;0
6879;0;104;0;0
6880;0;112;0;0
6881;0;113;0;1
6882;0;108;0;0
6883;0;103;0;0
6884;0;105;0;0
6885;0;114;0;0
6886;0;114;0;0
6887;0;109;0;2
6888;0;105;0;0
6889;0;102;0;0
6890;0;114;0;0
6891;0;112;0;0
6892;0;111;0;0
6893;0;109;0;0
6894;0;114;0;0
6895;0;114;0;0
6896;0;107;0;0
6897;0;107;0;1
6898;0;105;0;1
6899;0;114;0;1
6900;0;116;0;1
6901;0;115;0;0
6902;0;117;0;0
6903;0;110;0;0
6904;0;111;0;1
6905;0;108;0;1
6906;0;106;0;0
6907;0;113;0;1
6908;0;112;0;0
6909;0;108;0;1
6910;0;108;0;0
6911;0;111;0;2
6912;0;112;0;3
6913;0;109;0;0
6914;0;112;0;0
6915;0;110;0;0
