Year;average_satisfaction_of_red_individuals;average_satisfaction_of_blue_individuals
3655;19.231;31.077
3660;19.077;31.077
3665;19.385;31.077
3670;19.385;31.077
3675;19.385;31.077
3680;19.231;31.231
3685;19.231;31.231
3690;19.231;31.231
3695;19.231;31.231
3700;19.231;31.077
3705;19.231;31.077
3710;19.231;30.923
3715;19.231;31.077
3720;19.231;30.769
3725;19.077;30.923
3730;19.231;31.077
3735;19.231;31.231
3740;19.077;30.923
3745;18.923;30.769
3750;18.923;30.769
3755;18.923;30.769
3760;18.923;30.923
3765;18.923;30.769
3770;19.077;30.615
3775;18.923;30.615
3780;18.769;30.615
3785;18.615;30.923
3790;18.615;30.615
3795;18.769;30.462
3800;18.769;30.462
3805;18.769;30.308
3810;18.769;30.154
3815;18.769;30.154
3820;18.769;30.154
3825;18.462;30.154
3830;18.308;30.154
3835;18.308;30.308
3840;18.154;30.308
3845;18.154;30.308
3850;18.0;30.308
3855;17.538;30.308
3860;17.692;30.154
3865;17.692;30.154
3870;17.846;30.154
3875;17.846;30.154
3880;17.846;30.308
3885;18.0;30.308
3890;18.0;30.308
3895;18.0;30.308
3900;18.154;30.308
3905;18.154;30.308
3910;18.0;30.308
3915;18.0;30.154
3920;17.846;30.154
3925;17.846;30.154
3930;17.846;30.154
3935;17.692;30.0
3940;17.692;30.154
3945;17.692;30.0
3950;17.692;30.0
3955;17.692;29.846
3960;17.692;29.846
3965;17.692;29.846
3970;17.692;29.692
3975;17.692;29.846
3980;17.692;29.846
3985;17.692;30.154
3990;17.538;30.154
3995;17.538;30.0
4000;17.538;30.154
4005;17.538;30.308
4010;17.385;30.154
4015;17.231;30.154
4020;17.231;30.0
4025;17.231;30.0
4030;17.231;30.0
4035;17.231;30.0
4040;17.385;30.154
4045;17.538;30.308
4050;17.538;30.462
4055;17.692;30.462
4060;17.538;30.462
4065;17.538;30.462
4070;17.538;30.462
4075;17.385;30.462
4080;17.231;30.308
4085;17.231;30.462
4090;17.231;30.462
4095;17.231;30.462
4100;17.231;30.308
4105;17.077;30.308
4110;17.077;30.308
4115;17.077;30.308
4120;16.923;30.308
